Pack Amperage (Current)
0.5
0.5
0.5
0.5
0.5
0.5
0.5
0.5
0.5
0.4
1.6
3
4.7
5.6
6.6
7.6
7.6
7.6
10.2
8.6
7
6
11.3
12.7
14
17.3
24.8
33.2
45.4
51.3
59.9
53.3
37.3
-5.5
-15.4
-22.8
-29
-8.5
0.3
0.5
0
0.1
0.8
0.4
0.6
0.8
1.5
2.2
2.3
4.1
5.4
5.6
2.4
0.1
-0.5
3
6.3
17.5
36.9
55.1
50.5
37.8
13.5
-5.5
-12.1
-19.1
-24.9
-6.9
-0.5
1.2
4.8
4.3
4
3.7
3.1
2.6
1
-1.9
-3.6
-6.1
-2.5
4
5.3
9.9
17.3
20.4
26.6
38.3
49.4
58.8
64.9
44.8
21.2
5.2
-8.9
-15.4
-13.2
-1.3
4.8
7.3
14.1
18.6
33
42.3
48.1
53
43
10.8
2.9
-1.1
-8
-7.3
-7
-7
-7.5
-12.9
-14.4
-12.7
-2.4
4.3
9.9
14.9
23.5
28.6
32.2
36.3
37.8
41.2
35.2
27.7
19.7
0.5
-10.5
-16.8
-16.8
-16.4
-10.8
1
2.3
8.4
11.4
15.2
21
24.5
27
29.7
30.9
26.6
17.5
-4.3
-13.9
-22.6
-14.7
0.3
1
0.8
0.7
0.8
2.2
4.1
4.9
6.2
8.5
9.6
10.5
11
11.8
11.9
12.5
12.7
11.9
2.4
-2.6
-3.6
0.1
3.6
7.4
10.1
11
12.5
13.8
14.1
14.2
13
12.3
11.6
10.8
6.2
-1.7
-6.5
-6.8
-7
-5.6
-5.9
-5.6
-6.9
-6.8
-7.1
-0.8
3.7
3.2
5.5
7.1
7.6
10.9
12.1
14.3
16.8
18.3
13.3
-1.8
-7.6
-12.5
-17.4
-12.2
2.1
12.5
21.4
48.3
88.5
125.2
157.7
192.2
70.2
12.3
-7
-21
-30
-30.2
3.2
2.7
0
7.7
12.9
16.8
18.4
16.3
-0.7
-11.3
-19.3
-29.8
-17.4
-5
6.6
7.9
12
14.4
15.4
16.1
17
18.3
18.4
15.6
11.9
-4.3
-10.3
-15.4
-11.2
3
11
12.9
14.6
18.4
22.5
26.5
28.7
30.1
32
28.6
22.5
13.2
5.4
5.4
8.6
10.9
16.2
22
26.8
29.1
26.4
19.3
15.5
14.1
7.5
2.5
-0.8
-0.3
1.1
1.8
2.9
6
7.5
8.7
9.7
7.2
3.7
2.1
1.8
2.4
4.7
5.2
2.4
1
0.7
1.2
1.6
0.7
0.5
0.5
0.5
0.4
0.1
0.3
-0.1
-0.6
-3.1
-6.5
-10.4
-6.5
-4.6
-0.9
-0.8
-1
-0.7
-0.8
2.9
5.1
7
8.3
11.7
14.5
16.5
18.1
19.1
19.7
18.9
15.8
5
2.1
7.3
12.7
14.7
16
17.9
18.7
14.5
10.7
11.3
13.9
15
16.8
17.4
17.3
14.3
11.1
9.5
11.4
14
15.6
16.5
16.9
15.9
6.2
4
2.3
2.1
1.5
0.3
-1.2
-1.2
-1.2
-1.4
-1.3
-0.9
0.2
0.8
0.7
0.7
-1
-4
-8.7
-9.8
-3.2
0.2
3.6
3.3
2.4
-0.3
-3
-3.3
-2.9
-0.7
1.6
2.1
1.8
1.7
1.2
1.2
1.1
1.2
1.2
1
1.1
1.1
1.1
1
1
1
0.8
1
0.8
1
1
1
1
1
1
1
1
2.2
3.4
6.1
7.3
9.2
11.5
14.3
15.7
17.1
18
17.4
16.4
16.1
16
15.9
15.4
14.2
9.3
7.7
7.1
6.4
6.1
6.3
6.8
6.8
6.5
6.5
6.8
6.6
6.9
6.7
6.6
6.8
6.5
8.6
11.4
12.1
14.8
15.8
16.9
18
19.5
19.5
18.3
13.6
11.7
10.1
10.2
14
14.7
15.4
15.7
16.3
15.6
13.2
10
1.7
-2
-6.1
-6.8
-7.9
-9
-9.2
-9.4
-7.2
1.5
3.2
7.5
7.9
7.5
7.5
7.5
7.6
11.3
11.5
12.9
14
11.3
7.9
10.8
13.2
15.4
16.2
16.8
18
18.4
19
19.9
11.9
2.4
2.3
3.9
3.6
2.7
2.9
2.7
2.7
2.7
2.5
2.4
2.3
2.5
4.2
5
7.1
10
13.9
18.3
24.5
30.4
35.1
37.3
31.9
26.5
19.4
10.8
5.9
4.3
3.4
9
11.4
14.5
17.1
19.3
19.8
18.3
15.7
15.6
14.9
14.2
14
14.2
14.1
13.3
13.4
6.9
6.1
8.7
11.4
13.1
14.3
15.5
15.2
10.9
4.8
3.7
3
5.8
10.5
17.9
26.9
31
35
30.8
25.5
27.4
37.6
47.5
47.4
25
0.7
2.1
3.1
-0.2
-10.6
-21
-35.3
4
0.6
-9.1
-1.8
1.2
0.9
0.6
0.7
0.7
0.7
0.7
1.4
1.7
2.6
3.7
6.4
9.5
11.8
18.7
27
32.9
36.6
39.5
42
43.2
41.3
37
36.7
33.2
18
6.6
5.8
-1.3
-9
-14.1
-18.7
-23.6
-28
-26.2
-17.9
-10.8
-4.5
2.4
8.6
11.7
14.5
18.4
19.5
22
23.4
27.7
30.2
31.6
33.1
33.8
2.2
-10.5
-22.1
-28.9
-5.9
-2.1
-0.4
-1.9
-0.8
-1.3
-3.4
-9.4
-19.6
-33.2
-40
-37.9
-26.5
-5.6
0
