Time,Pack Amperage (Current)
Thu Oct 17 18:22:15 CST 2024,14.3
Thu Oct 17 18:22:15 CST 2024,15.5
Thu Oct 17 18:22:15 CST 2024,15.2
Thu Oct 17 18:22:15 CST 2024,10.9
Thu Oct 17 18:22:15 CST 2024,4.8
Thu Oct 17 18:22:16 CST 2024,3.7
Thu Oct 17 18:22:16 CST 2024,3
Thu Oct 17 18:22:16 CST 2024,5.8
Thu Oct 17 18:22:16 CST 2024,10.5
Thu Oct 17 18:22:16 CST 2024,17.9
Thu Oct 17 18:22:16 CST 2024,26.9
Thu Oct 17 18:22:16 CST 2024,31
Thu Oct 17 18:22:16 CST 2024,35
Thu Oct 17 18:22:16 CST 2024,30.8
Thu Oct 17 18:22:16 CST 2024,25.5
Thu Oct 17 18:22:17 CST 2024,27.4
Thu Oct 17 18:22:17 CST 2024,37.6
Thu Oct 17 18:22:17 CST 2024,47.5
Thu Oct 17 18:22:17 CST 2024,47.4
Thu Oct 17 18:22:17 CST 2024,25
Thu Oct 17 18:22:17 CST 2024,0.7
Thu Oct 17 18:22:17 CST 2024,2.1
Thu Oct 17 18:22:17 CST 2024,3.1
Thu Oct 17 18:22:17 CST 2024,-0.2
Thu Oct 17 18:22:18 CST 2024,-10.6
Thu Oct 17 18:22:18 CST 2024,-21
Thu Oct 17 18:22:18 CST 2024,-35.3
Thu Oct 17 18:22:18 CST 2024,4
Thu Oct 17 18:22:18 CST 2024,0.6
Thu Oct 17 18:22:18 CST 2024,-9.1
Thu Oct 17 18:22:18 CST 2024,-1.8
Thu Oct 17 18:22:18 CST 2024,1.2
Thu Oct 17 18:22:18 CST 2024,0.9
Thu Oct 17 18:22:18 CST 2024,0.6
Thu Oct 17 18:22:19 CST 2024,0.7
Thu Oct 17 18:22:19 CST 2024,0.7
Thu Oct 17 18:22:19 CST 2024,0.7
Thu Oct 17 18:22:19 CST 2024,0.7
Thu Oct 17 18:22:19 CST 2024,1.4
Thu Oct 17 18:22:19 CST 2024,1.7
Thu Oct 17 18:22:19 CST 2024,2.6
Thu Oct 17 18:22:19 CST 2024,3.7
Thu Oct 17 18:22:19 CST 2024,6.4
Thu Oct 17 18:22:19 CST 2024,9.5
Thu Oct 17 18:22:20 CST 2024,11.8
Thu Oct 17 18:22:20 CST 2024,18.7
Thu Oct 17 18:22:20 CST 2024,27
Thu Oct 17 18:22:20 CST 2024,32.9
Thu Oct 17 18:22:20 CST 2024,36.6
Thu Oct 17 18:22:20 CST 2024,39.5
Thu Oct 17 18:22:20 CST 2024,42
Thu Oct 17 18:22:20 CST 2024,43.2
Thu Oct 17 18:22:20 CST 2024,41.3
Thu Oct 17 18:22:20 CST 2024,37
Thu Oct 17 18:22:21 CST 2024,36.7
Thu Oct 17 18:22:21 CST 2024,33.2
Thu Oct 17 18:22:21 CST 2024,18
Thu Oct 17 18:22:21 CST 2024,6.6
Thu Oct 17 18:22:21 CST 2024,5.8
Thu Oct 17 18:22:21 CST 2024,-1.3
Thu Oct 17 18:22:21 CST 2024,-9
Thu Oct 17 18:22:21 CST 2024,-14.1
Thu Oct 17 18:22:21 CST 2024,-18.7
Thu Oct 17 18:22:21 CST 2024,-23.6
Thu Oct 17 18:22:22 CST 2024,-28
Thu Oct 17 18:22:22 CST 2024,-26.2
Thu Oct 17 18:22:22 CST 2024,-17.9
Thu Oct 17 18:22:22 CST 2024,-10.8
Thu Oct 17 18:22:22 CST 2024,-4.5
Thu Oct 17 18:22:22 CST 2024,2.4
Thu Oct 17 18:22:22 CST 2024,8.6
Thu Oct 17 18:22:22 CST 2024,11.7
Thu Oct 17 18:22:22 CST 2024,14.5
Thu Oct 17 18:22:22 CST 2024,18.4
Thu Oct 17 18:22:23 CST 2024,19.5
Thu Oct 17 18:22:23 CST 2024,22
Thu Oct 17 18:22:23 CST 2024,23.4
Thu Oct 17 18:22:23 CST 2024,27.7
Thu Oct 17 18:22:23 CST 2024,30.2
Thu Oct 17 18:22:23 CST 2024,31.6
Thu Oct 17 18:22:23 CST 2024,33.1
Thu Oct 17 18:22:23 CST 2024,33.8
Thu Oct 17 18:22:23 CST 2024,2.2
Thu Oct 17 18:22:23 CST 2024,-10.5
Thu Oct 17 18:22:24 CST 2024,-22.1
Thu Oct 17 18:22:24 CST 2024,-28.9
Thu Oct 17 18:22:24 CST 2024,-5.9
Thu Oct 17 18:22:24 CST 2024,-2.1
Thu Oct 17 18:22:24 CST 2024,-0.4
Thu Oct 17 18:22:24 CST 2024,-1.9
Thu Oct 17 18:22:24 CST 2024,-0.8
Thu Oct 17 18:22:24 CST 2024,-1.3
Thu Oct 17 18:22:24 CST 2024,-3.4
Thu Oct 17 18:22:24 CST 2024,-9.4
Thu Oct 17 18:22:25 CST 2024,-19.6
Thu Oct 17 18:22:25 CST 2024,-33.2
Thu Oct 17 18:22:25 CST 2024,-40
Thu Oct 17 18:22:25 CST 2024,-37.9
Thu Oct 17 18:22:25 CST 2024,-26.5
Thu Oct 17 18:22:25 CST 2024,-5.6
Thu Oct 17 18:22:25 CST 2024,0
