Time,Pack Amperage (Current)
Thu Oct 17 18:21:31 CST 2024,41.2
Thu Oct 17 18:21:32 CST 2024,35.2
Thu Oct 17 18:21:32 CST 2024,27.7
Thu Oct 17 18:21:32 CST 2024,19.7
Thu Oct 17 18:21:32 CST 2024,0.5
Thu Oct 17 18:21:32 CST 2024,-10.5
Thu Oct 17 18:21:32 CST 2024,-16.8
Thu Oct 17 18:21:32 CST 2024,-16.8
Thu Oct 17 18:21:32 CST 2024,-16.4
Thu Oct 17 18:21:32 CST 2024,-10.8
Thu Oct 17 18:21:32 CST 2024,1
Thu Oct 17 18:21:33 CST 2024,2.3
Thu Oct 17 18:21:33 CST 2024,8.4
Thu Oct 17 18:21:33 CST 2024,11.4
Thu Oct 17 18:21:33 CST 2024,15.2
Thu Oct 17 18:21:33 CST 2024,21
Thu Oct 17 18:21:33 CST 2024,24.5
Thu Oct 17 18:21:33 CST 2024,27
Thu Oct 17 18:21:33 CST 2024,29.7
Thu Oct 17 18:21:33 CST 2024,30.9
Thu Oct 17 18:21:33 CST 2024,26.6
Thu Oct 17 18:21:34 CST 2024,17.5
Thu Oct 17 18:21:34 CST 2024,-4.3
Thu Oct 17 18:21:34 CST 2024,-13.9
Thu Oct 17 18:21:34 CST 2024,-22.6
Thu Oct 17 18:21:34 CST 2024,-14.7
Thu Oct 17 18:21:34 CST 2024,0.3
Thu Oct 17 18:21:34 CST 2024,1
Thu Oct 17 18:21:34 CST 2024,0.8
Thu Oct 17 18:21:34 CST 2024,0.7
Thu Oct 17 18:21:34 CST 2024,0.8
Thu Oct 17 18:21:35 CST 2024,2.2
Thu Oct 17 18:21:35 CST 2024,4.1
Thu Oct 17 18:21:35 CST 2024,4.9
Thu Oct 17 18:21:35 CST 2024,6.2
Thu Oct 17 18:21:35 CST 2024,8.5
Thu Oct 17 18:21:35 CST 2024,9.6
Thu Oct 17 18:21:35 CST 2024,10.5
Thu Oct 17 18:21:35 CST 2024,11
Thu Oct 17 18:21:35 CST 2024,11.8
Thu Oct 17 18:21:35 CST 2024,11.9
Thu Oct 17 18:21:36 CST 2024,12.5
Thu Oct 17 18:21:36 CST 2024,12.7
Thu Oct 17 18:21:36 CST 2024,11.9
Thu Oct 17 18:21:36 CST 2024,2.4
Thu Oct 17 18:21:36 CST 2024,-2.6
Thu Oct 17 18:21:36 CST 2024,-3.6
Thu Oct 17 18:21:36 CST 2024,0.1
Thu Oct 17 18:21:36 CST 2024,3.6
Thu Oct 17 18:21:36 CST 2024,7.4
Thu Oct 17 18:21:36 CST 2024,10.1
Thu Oct 17 18:21:37 CST 2024,11
Thu Oct 17 18:21:37 CST 2024,12.5
Thu Oct 17 18:21:37 CST 2024,13.8
Thu Oct 17 18:21:37 CST 2024,14.1
Thu Oct 17 18:21:37 CST 2024,14.2
Thu Oct 17 18:21:37 CST 2024,13
Thu Oct 17 18:21:37 CST 2024,12.3
Thu Oct 17 18:21:37 CST 2024,11.6
Thu Oct 17 18:21:37 CST 2024,10.8
Thu Oct 17 18:21:37 CST 2024,6.2
Thu Oct 17 18:21:38 CST 2024,-1.7
Thu Oct 17 18:21:38 CST 2024,-6.5
Thu Oct 17 18:21:38 CST 2024,-6.8
Thu Oct 17 18:21:38 CST 2024,-7
Thu Oct 17 18:21:38 CST 2024,-5.6
Thu Oct 17 18:21:38 CST 2024,-5.9
Thu Oct 17 18:21:38 CST 2024,-5.6
Thu Oct 17 18:21:38 CST 2024,-6.9
Thu Oct 17 18:21:38 CST 2024,-6.8
Thu Oct 17 18:21:38 CST 2024,-7.1
Thu Oct 17 18:21:39 CST 2024,-0.8
Thu Oct 17 18:21:39 CST 2024,3.7
Thu Oct 17 18:21:39 CST 2024,3.2
Thu Oct 17 18:21:39 CST 2024,5.5
Thu Oct 17 18:21:39 CST 2024,7.1
Thu Oct 17 18:21:39 CST 2024,7.6
Thu Oct 17 18:21:39 CST 2024,10.9
Thu Oct 17 18:21:39 CST 2024,12.1
Thu Oct 17 18:21:39 CST 2024,14.3
Thu Oct 17 18:21:39 CST 2024,16.8
Thu Oct 17 18:21:40 CST 2024,18.3
Thu Oct 17 18:21:40 CST 2024,13.3
Thu Oct 17 18:21:40 CST 2024,-1.8
Thu Oct 17 18:21:40 CST 2024,-7.6
Thu Oct 17 18:21:40 CST 2024,-12.5
Thu Oct 17 18:21:40 CST 2024,-17.4
Thu Oct 17 18:21:40 CST 2024,-12.2
Thu Oct 17 18:21:40 CST 2024,2.1
Thu Oct 17 18:21:40 CST 2024,12.5
Thu Oct 17 18:21:41 CST 2024,21.4
Thu Oct 17 18:21:41 CST 2024,48.3
Thu Oct 17 18:21:41 CST 2024,88.5
Thu Oct 17 18:21:41 CST 2024,125.2
Thu Oct 17 18:21:41 CST 2024,157.7
Thu Oct 17 18:21:41 CST 2024,192.2
Thu Oct 17 18:21:41 CST 2024,70.2
Thu Oct 17 18:21:41 CST 2024,12.3
Thu Oct 17 18:21:41 CST 2024,-7
Thu Oct 17 18:21:41 CST 2024,-21
Thu Oct 17 18:21:42 CST 2024,-30
Thu Oct 17 18:21:42 CST 2024,-30.2
Thu Oct 17 18:21:42 CST 2024,3.2
Thu Oct 17 18:21:42 CST 2024,2.7
Thu Oct 17 18:21:42 CST 2024,0
Thu Oct 17 18:21:42 CST 2024,7.7
Thu Oct 17 18:21:42 CST 2024,12.9
Thu Oct 17 18:21:42 CST 2024,16.8
Thu Oct 17 18:21:42 CST 2024,18.4
Thu Oct 17 18:21:42 CST 2024,16.3
Thu Oct 17 18:21:43 CST 2024,-0.7
Thu Oct 17 18:21:43 CST 2024,-11.3
Thu Oct 17 18:21:43 CST 2024,-19.3
Thu Oct 17 18:21:43 CST 2024,-29.8
Thu Oct 17 18:21:43 CST 2024,-17.4
Thu Oct 17 18:21:43 CST 2024,-5
Thu Oct 17 18:21:43 CST 2024,6.6
Thu Oct 17 18:21:43 CST 2024,7.9
Thu Oct 17 18:21:43 CST 2024,12
Thu Oct 17 18:21:43 CST 2024,14.4
Thu Oct 17 18:21:44 CST 2024,15.4
Thu Oct 17 18:21:44 CST 2024,16.1
Thu Oct 17 18:21:44 CST 2024,17
Thu Oct 17 18:21:44 CST 2024,18.3
Thu Oct 17 18:21:44 CST 2024,18.4
Thu Oct 17 18:21:44 CST 2024,15.6
Thu Oct 17 18:21:44 CST 2024,11.9
Thu Oct 17 18:21:44 CST 2024,-4.3
Thu Oct 17 18:21:44 CST 2024,-10.3
Thu Oct 17 18:21:44 CST 2024,-15.4
Thu Oct 17 18:21:45 CST 2024,-11.2
Thu Oct 17 18:21:45 CST 2024,3
Thu Oct 17 18:21:45 CST 2024,11
Thu Oct 17 18:21:45 CST 2024,12.9
Thu Oct 17 18:21:45 CST 2024,14.6
Thu Oct 17 18:21:45 CST 2024,18.4
Thu Oct 17 18:21:45 CST 2024,22.5
Thu Oct 17 18:21:45 CST 2024,26.5
Thu Oct 17 18:21:45 CST 2024,28.7
Thu Oct 17 18:21:45 CST 2024,30.1
Thu Oct 17 18:21:46 CST 2024,32
Thu Oct 17 18:21:46 CST 2024,28.6
Thu Oct 17 18:21:46 CST 2024,22.5
Thu Oct 17 18:21:46 CST 2024,13.2
Thu Oct 17 18:21:46 CST 2024,5.4
Thu Oct 17 18:21:46 CST 2024,5.4
Thu Oct 17 18:21:46 CST 2024,8.6
Thu Oct 17 18:21:46 CST 2024,10.9
Thu Oct 17 18:21:46 CST 2024,16.2
Thu Oct 17 18:21:46 CST 2024,22
Thu Oct 17 18:21:47 CST 2024,26.8
Thu Oct 17 18:21:47 CST 2024,29.1
Thu Oct 17 18:21:47 CST 2024,26.4
Thu Oct 17 18:21:47 CST 2024,19.3
Thu Oct 17 18:21:47 CST 2024,15.5
Thu Oct 17 18:21:47 CST 2024,14.1
Thu Oct 17 18:21:47 CST 2024,7.5
Thu Oct 17 18:21:47 CST 2024,2.5
Thu Oct 17 18:21:47 CST 2024,-0.8
Thu Oct 17 18:21:47 CST 2024,-0.3
Thu Oct 17 18:21:48 CST 2024,1.1
Thu Oct 17 18:21:48 CST 2024,1.8
Thu Oct 17 18:21:48 CST 2024,2.9
Thu Oct 17 18:21:48 CST 2024,6
Thu Oct 17 18:21:48 CST 2024,7.5
Thu Oct 17 18:21:48 CST 2024,8.7
Thu Oct 17 18:21:48 CST 2024,9.7
Thu Oct 17 18:21:48 CST 2024,7.2
Thu Oct 17 18:21:48 CST 2024,3.7
Thu Oct 17 18:21:48 CST 2024,2.1
Thu Oct 17 18:21:49 CST 2024,1.8
Thu Oct 17 18:21:49 CST 2024,2.4
Thu Oct 17 18:21:49 CST 2024,4.7
Thu Oct 17 18:21:49 CST 2024,5.2
Thu Oct 17 18:21:49 CST 2024,2.4
Thu Oct 17 18:21:49 CST 2024,1
Thu Oct 17 18:21:49 CST 2024,0.7
Thu Oct 17 18:21:49 CST 2024,1.2
Thu Oct 17 18:21:49 CST 2024,1.6
Thu Oct 17 18:21:50 CST 2024,0.7
Thu Oct 17 18:21:50 CST 2024,0.5
Thu Oct 17 18:21:50 CST 2024,0.5
Thu Oct 17 18:21:50 CST 2024,0.5
Thu Oct 17 18:21:50 CST 2024,0.4
Thu Oct 17 18:21:50 CST 2024,0.1
Thu Oct 17 18:21:50 CST 2024,0.3
Thu Oct 17 18:21:50 CST 2024,-0.1
Thu Oct 17 18:21:50 CST 2024,-0.6
Thu Oct 17 18:21:50 CST 2024,-3.1
Thu Oct 17 18:21:51 CST 2024,-6.5
Thu Oct 17 18:21:51 CST 2024,-10.4
Thu Oct 17 18:21:51 CST 2024,-6.5
Thu Oct 17 18:21:51 CST 2024,-4.6
Thu Oct 17 18:21:51 CST 2024,-0.9
Thu Oct 17 18:21:51 CST 2024,-0.8
Thu Oct 17 18:21:51 CST 2024,-1
Thu Oct 17 18:21:51 CST 2024,-0.7
Thu Oct 17 18:21:51 CST 2024,-0.8
Thu Oct 17 18:21:51 CST 2024,2.9
Thu Oct 17 18:21:52 CST 2024,5.1
Thu Oct 17 18:21:52 CST 2024,7
Thu Oct 17 18:21:52 CST 2024,8.3
Thu Oct 17 18:21:52 CST 2024,11.7
Thu Oct 17 18:21:52 CST 2024,14.5
Thu Oct 17 18:21:52 CST 2024,16.5
Thu Oct 17 18:21:52 CST 2024,18.1
Thu Oct 17 18:21:52 CST 2024,19.1
Thu Oct 17 18:21:52 CST 2024,19.7
Thu Oct 17 18:21:52 CST 2024,18.9
Thu Oct 17 18:21:53 CST 2024,15.8
Thu Oct 17 18:21:53 CST 2024,5
Thu Oct 17 18:21:53 CST 2024,2.1
Thu Oct 17 18:21:53 CST 2024,7.3
Thu Oct 17 18:21:53 CST 2024,12.7
Thu Oct 17 18:21:53 CST 2024,14.7
Thu Oct 17 18:21:53 CST 2024,16
Thu Oct 17 18:21:53 CST 2024,17.9
Thu Oct 17 18:21:53 CST 2024,18.7
Thu Oct 17 18:21:53 CST 2024,14.5
Thu Oct 17 18:21:54 CST 2024,10.7
Thu Oct 17 18:21:54 CST 2024,11.3
Thu Oct 17 18:21:54 CST 2024,13.9
Thu Oct 17 18:21:54 CST 2024,15
Thu Oct 17 18:21:54 CST 2024,16.8
Thu Oct 17 18:21:54 CST 2024,17.4
Thu Oct 17 18:21:54 CST 2024,17.3
Thu Oct 17 18:21:54 CST 2024,14.3
Thu Oct 17 18:21:54 CST 2024,11.1
Thu Oct 17 18:21:54 CST 2024,9.5
Thu Oct 17 18:21:55 CST 2024,11.4
Thu Oct 17 18:21:55 CST 2024,14
Thu Oct 17 18:21:55 CST 2024,15.6
Thu Oct 17 18:21:55 CST 2024,16.5
